Correctionville G.C.,Correctionville Iowa,9,34,1,4,250,2,4,284,3,4,271,4,3,107,5,4,271,6,4,349,7,4,352,8,4,361,9,3,124
Quimby G.C.,Quimby Iowa,9,36,1,4,277,2,4,289,3,5,406,4,3,180,5,4,347,6,4,290,7,4,371,8,3,210,9,5,411
Anthon G.C.,Anthon Iowa,9,35,1,4,409,2,4,304,3,3,104,4,4,378,5,4,344,6,4,282,7,3,171,8,4,304,9,5,455
